City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Busselton,AU,70.11,broken clouds,-33.65,115.3333,Observatory Guest House
1,Taft,IR,78.75,clear sky,31.7471,54.2088,عمارت ساعتی تفت
2,San Patricio,US,78.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
3,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Saint George,US,78.26,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
6,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
10,Faanui,PF,78.01,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
12,Dabhoi,IN,87.73,clear sky,22.1833,73.4333,Sindhiyapura
13,Kavieng,PG,82.65,broken clouds,-2.5744,150.7967,Nusa Island Retreat
16,Yinchuan,CN,81.45,few clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
18,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
21,Hilo,US,78.53,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
24,Carnarvon,AU,75.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
27,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
29,Mindelo,CV,78.35,few clouds,16.8901,-24.9804,Hotel Gaudi
32,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
39,Garowe,SO,80.91,overcast clouds,8.4054,48.4845,Curubo Hotel
41,Rantepao,ID,85.96,broken clouds,-2.9701,119.8978,Hotel Luta Resort
43,Rikitea,PF,73.62,few clouds,-23.1203,-134.9692,People ThankYou
45,Hasaki,JP,82.22,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
47,Yantai,CN,76.03,overcast clouds,37.5333,121.4,Yantai Seaside International Youth Hostel
48,Atar,MR,75.56,clear sky,20.5169,-13.0499,Oumou Elghoura
49,Ouro Preto Do Oeste,BR,72.84,overcast clouds,-10.7481,-62.2158,Graúna Resort Hotel
57,Ponta Do Sol,PT,70.72,broken clouds,32.6667,-17.1,Hotel do Campo
58,Hithadhoo,MV,81.23,overcast clouds,-0.6,73.0833,Scoop Guest House
60,Boa Vista,BR,82.38,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
61,Butaritari,KI,82.31,light rain,3.0707,172.7902,Isles Sunset Lodge
64,Cam Ranh,VN,85.96,light rain,11.9214,109.1591,OYO 598 Peony Hotel
65,Cayenne,GF,73.44,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
66,Kavaratti,IN,81.45,overcast clouds,10.5669,72.642,Green leaf
68,Beidao,CN,75.74,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
72,Jega,NG,72.73,broken clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
73,Bengkulu,ID,82.83,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
74,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
75,Nichinan,JP,80.28,scattered clouds,31.6,131.3667,Guest House Aki
77,Badoc,PH,87.71,clear sky,17.9265,120.4764,Triplets plus One Inn
78,Kankon,IN,82.2,light rain,15.0167,74.0167,Palolem Beach Resort
79,Dwarka,IN,83.57,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
81,Praia Da Vitoria,PT,70.75,few clouds,38.7333,-27.0667,Hotel Branco I
83,Kahului,US,80.83,clear sky,20.8947,-156.47,Maui Seaside Hotel
85,Yulara,AU,80.62,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
96,Sinnamary,GF,77.2,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
101,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
105,Ojinaga,MX,76.15,clear sky,29.5667,-104.4167,Suites Las Palmas
108,Jacareacanga,BR,76.03,scattered clouds,-6.2222,-57.7528,Casa do Ian😎
110,Katsuura,JP,76.44,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
114,Moroni,KM,78.8,few clouds,-11.7022,43.2551,Hotel Les Arcades
121,Ribeira Grande,PT,70.47,few clouds,38.5167,-28.7,Quinta da Meia Eira
