,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,70.11,51,77,11.88,broken clouds
1,Taft,IR,31.7471,54.2088,78.75,10,0,2.3,clear sky
2,San Patricio,US,28.017,-97.5169,78.84,56,0,6.93,clear sky
3,Mahebourg,MU,-20.4081,57.7,76.24,68,75,9.22,broken clouds
4,Saint George,US,37.1041,-113.5841,78.26,36,0,8.05,clear sky
5,Khatanga,RU,71.9667,102.5,31.23,96,100,14.47,light snow
6,Mount Isa,AU,-20.7333,139.5,83.97,17,99,4.61,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,58.05,70,100,2.33,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,51.48,56,0,5.08,clear sky
9,Verkhoturye,RU,58.8627,60.8054,37.58,51,61,7.96,broken clouds
10,Faanui,PF,-16.4833,-151.75,78.01,67,19,4.5,few clouds
11,Chapais,CA,49.7834,-74.8492,42.58,84,99,8.05,overcast clouds
12,Dabhoi,IN,22.1833,73.4333,87.73,54,1,6.31,clear sky
13,Kavieng,PG,-2.5744,150.7967,82.65,73,82,12.33,broken clouds
14,Esperance,AU,-33.8667,121.9,61.66,61,69,14.58,broken clouds
15,Ostrovnoy,RU,68.0531,39.5131,40.24,84,100,7.25,overcast clouds
16,Yinchuan,CN,38.4681,106.2731,81.45,35,19,3.94,few clouds
17,Chingirlau,KZ,51.095,54.0814,54.05,38,100,15.48,overcast clouds
18,Avarua,CK,-21.2078,-159.775,71.65,64,75,5.75,light rain
19,Korla,CN,41.7597,86.1469,69.15,25,24,13.18,few clouds
20,Saskylakh,RU,71.9167,114.0833,30.81,97,100,8.1,light snow
21,Hilo,US,19.7297,-155.09,78.53,78,0,4.61,clear sky
22,Hobart,AU,-42.8794,147.3294,60.06,57,40,8.05,scattered clouds
23,Cidreira,BR,-30.1811,-50.2056,60.01,94,99,8.23,overcast clouds
24,Carnarvon,AU,-24.8667,113.6333,75.07,55,0,19.33,clear sky
25,Marathon,US,44.9,-89.7668,49.8,87,0,0.0,clear sky
26,Punta Arenas,CL,-53.15,-70.9167,44.71,70,40,25.32,light rain
27,Saint-Georges,GD,12.0564,-61.7485,83.88,79,20,23.02,few clouds
28,Srednekolymsk,RU,67.45,153.6833,29.52,93,100,12.5,light snow
29,Mindelo,CV,16.8901,-24.9804,78.35,73,20,19.57,few clouds
30,Jamestown,US,42.097,-79.2353,48.02,91,0,3.44,clear sky
31,Sobolevo,RU,54.4299,31.8996,50.59,97,100,5.23,overcast clouds
32,Kapaa,US,22.0752,-159.319,82.38,82,40,9.22,scattered clouds
33,Saint-Marc-Des-Carrieres,CA,46.6834,-72.0491,37.47,93,52,1.14,broken clouds
34,Vaini,TO,-21.2,-175.2,77.16,73,20,8.05,few clouds
35,Grindavik,IS,63.8424,-22.4338,48.15,87,75,26.46,broken clouds
36,Luderitz,NA,-26.6481,15.1594,60.94,53,13,11.83,few clouds
37,Easthampton,US,42.2668,-72.669,53.26,95,0,5.75,clear sky
38,Nerchinskiy Zavod,RU,51.3088,119.61,50.47,47,95,11.07,overcast clouds
39,Garowe,SO,8.4054,48.4845,80.91,56,87,15.84,overcast clouds
40,Burnie,AU,-41.0667,145.9167,56.95,48,2,5.44,clear sky
41,Rantepao,ID,-2.9701,119.8978,85.96,44,81,6.13,broken clouds
42,Chuy,UY,-33.6971,-53.4616,54.27,94,100,4.72,overcast clouds
43,Rikitea,PF,-23.1203,-134.9692,73.62,74,17,11.34,few clouds
44,Iqaluit,CA,63.7506,-68.5145,33.53,74,100,11.5,overcast clouds
45,Hasaki,JP,35.7333,140.8333,82.22,67,4,17.58,clear sky
46,Borogontsy,RU,62.6683,131.1683,29.98,69,100,5.59,overcast clouds
47,Yantai,CN,37.5333,121.4,76.03,49,92,10.69,overcast clouds
48,Atar,MR,20.5169,-13.0499,75.56,42,0,11.61,clear sky
49,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,72.84,85,93,4.81,overcast clouds
50,Constantine,DZ,36.365,6.6147,60.21,82,75,5.75,broken clouds
51,Bethel,US,41.3712,-73.414,56.48,84,0,6.91,clear sky
52,Tiznit,MA,29.5833,-9.5,65.52,60,0,0.58,clear sky
53,Lasa,IT,46.6166,10.7002,49.08,93,77,2.1,broken clouds
54,Miri,MY,4.4148,114.0089,91.54,66,40,4.61,scattered clouds
55,Sulecin,PL,52.4443,15.1168,43.7,77,64,8.32,broken clouds
56,Yaan,NG,7.3833,8.5667,72.12,96,95,4.41,overcast clouds
57,Ponta Do Sol,PT,32.6667,-17.1,70.72,75,72,8.99,broken clouds
58,Hithadhoo,MV,-0.6,73.0833,81.23,74,90,11.48,overcast clouds
