City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-09-30 16:27:45,3.0707,172.7902,81.21,77,99,15.28
1,Coihaique,CL,2022-09-30 16:26:40,-45.5752,-72.0662,54.21,43,20,11.5
2,San Antonio,US,2022-09-30 16:25:11,29.4241,-98.4936,81.19,46,0,5.75
3,Vila Franca Do Campo,PT,2022-09-30 16:27:45,37.7167,-25.4333,76.19,74,64,3.11
4,Nome,US,2022-09-30 16:25:35,64.5011,-165.4064,32.07,86,0,3.44
5,Golynki,RU,2022-09-30 16:27:46,54.8696,31.3861,49.84,82,76,2.84
6,Hermanus,ZA,2022-09-30 16:27:46,-34.4187,19.2345,62.8,74,99,12.12
7,Barrow,US,2022-09-30 16:27:46,71.2906,-156.7887,30.22,86,100,12.66
8,Dikson,RU,2022-09-30 16:27:47,73.5069,80.5464,35.37,85,100,18.28
9,Kaeo,NZ,2022-09-30 16:27:47,-35.1,173.7833,62.33,97,100,9.73
10,Praia Da Vitoria,PT,2022-09-30 16:27:24,38.7333,-27.0667,75.76,73,40,4.92
11,Fontem,CM,2022-09-30 16:27:47,5.4685,9.8818,71.35,89,86,1.45
12,Vaini,TO,2022-09-30 16:27:48,-21.2,-175.2,73.56,78,40,8.05
13,Santa Isabel Do Rio Negro,BR,2022-09-30 16:27:48,-0.4139,-65.0192,97.88,34,88,4.16
14,Sao Filipe,CV,2022-09-30 16:27:48,14.8961,-24.4956,79.68,85,33,5.26
15,Punta Arenas,CL,2022-09-30 16:24:20,-53.15,-70.9167,46.51,49,0,25.32
16,Hilo,US,2022-09-30 16:27:49,19.7297,-155.09,77.29,92,20,1.99
17,Dhidhdhoo,MV,2022-09-30 16:27:49,6.8833,73.1,80.15,81,100,21.94
18,Sanski Most,BA,2022-09-30 16:27:49,44.7653,16.6656,65.86,78,100,1.5
19,Goderich,CA,2022-09-30 16:27:50,43.7501,-81.7165,59.32,67,0,6.91
20,Tukrah,LY,2022-09-30 16:27:50,32.5341,20.5791,92.97,34,48,2.33
21,Rikitea,PF,2022-09-30 16:27:51,-23.1203,-134.9692,73.51,78,94,12.15
22,Dongsheng,CN,2022-09-30 16:27:51,39.8161,109.9776,66.36,40,100,9.6
23,Ukiah,US,2022-09-30 16:16:59,39.1502,-123.2078,76.64,68,0,0.0
24,Naze,JP,2022-09-30 16:27:51,28.3667,129.4833,72.52,76,1,5.5
25,Salalah,OM,2022-09-30 16:27:52,17.0151,54.0924,80.69,89,75,5.75
26,Busselton,AU,2022-09-30 16:27:52,-33.65,115.3333,55.78,76,1,9.42
27,Ancud,CL,2022-09-30 16:27:52,-41.8697,-73.8203,53.74,81,62,2.01
28,Hithadhoo,MV,2022-09-30 16:27:53,-0.6,73.0833,82.26,72,74,8.23
29,Mataura,NZ,2022-09-30 16:27:54,-46.1927,168.8643,37.47,98,8,1.48
30,Kapaa,US,2022-09-30 16:27:54,22.0752,-159.319,75.18,87,40,3.44
31,La Ronge,CA,2022-09-30 16:27:54,55.1001,-105.2842,50.25,66,100,11.5
32,Cap Malheureux,MU,2022-09-30 16:27:54,-19.9842,57.6142,68.47,71,0,1.99
33,Qaanaaq,GL,2022-09-30 16:27:55,77.484,-69.3632,20.28,66,94,12.75
34,Talara,PE,2022-09-30 16:27:55,-4.5772,-81.2719,74.16,56,0,16.11
35,Upernavik,GL,2022-09-30 16:27:56,72.7868,-56.1549,22.33,75,71,4.9
36,Arraial Do Cabo,BR,2022-09-30 16:26:13,-22.9661,-42.0278,71.56,64,75,9.22
37,Ponta Do Sol,PT,2022-09-30 16:27:56,32.6667,-17.1,75.7,81,83,2.39
38,Talnakh,RU,2022-09-30 16:27:56,69.4865,88.3972,31.21,98,100,5.93
39,New Norfolk,AU,2022-09-30 16:27:57,-42.7826,147.0587,40.71,68,1,2.8
40,Avera,US,2022-09-30 16:27:58,33.194,-82.5271,65.37,57,99,21.25
41,Marsa Matruh,EG,2022-09-30 16:20:31,31.3525,27.2453,83.21,64,0,12.21
42,Saskylakh,RU,2022-09-30 16:27:59,71.9167,114.0833,13.77,98,87,4.45
43,Port Alfred,ZA,2022-09-30 16:27:59,-33.5906,26.891,70.18,86,100,5.01
44,Dubbo,AU,2022-09-30 16:17:13,-32.25,148.6167,50.13,87,75,9.22
45,Tiksi,RU,2022-09-30 16:27:59,71.6872,128.8694,14.23,95,74,6.58
46,Cachira,CO,2022-09-30 16:28:00,7.741,-73.0483,61.09,88,100,0.94
47,Kupang,ID,2022-09-30 16:28:00,-10.1667,123.5833,78.35,79,100,4.38
48,Marystown,CA,2022-09-30 16:24:24,47.1666,-55.1483,57.11,62,0,11.05
49,Luau,AO,2022-09-30 16:29:00,-10.7073,22.2247,73.4,59,80,6.02
50,Ostrovnoy,RU,2022-09-30 16:20:30,68.0531,39.5131,35.1,93,100,11.3
51,Kontagora,NG,2022-09-30 16:29:01,10.3999,5.4695,78.04,80,97,4.45
52,Bluff,NZ,2022-09-30 16:29:01,-46.6,168.3333,37.8,78,5,3.51
53,Port Elizabeth,ZA,2022-09-30 16:29:02,-33.918,25.5701,68.09,93,75,10.36
54,Ahipara,NZ,2022-09-30 16:29:02,-35.1667,173.1667,60.28,95,100,8.1
55,Hobart,AU,2022-09-30 16:28:53,-42.8794,147.3294,41.05,88,0,13.8
56,Albany,US,2022-09-30 16:24:12,42.6001,-73.9662,56.17,69,100,2.64
57,East London,ZA,2022-09-30 16:29:03,-33.0153,27.9116,71.49,82,100,7.83
58,Ushuaia,AR,2022-09-30 16:29:03,-54.8,-68.3,47.86,43,0,12.66
59,Avarua,CK,2022-09-30 16:29:03,-21.2078,-159.775,69.85,78,75,5.75
60,Dingle,PH,2022-09-30 16:29:04,10.9995,122.6711,75.94,88,97,5.21
61,Saint-Joseph,RE,2022-09-30 16:29:04,-21.3667,55.6167,70.18,79,21,11.3
62,Ndele,CF,2022-09-30 16:24:24,8.4109,20.6473,76.84,85,62,1.66
63,Victoria,HK,2022-09-30 16:25:53,22.2855,114.1577,79.32,93,99,5.99
64,Vardo,NO,2022-09-30 16:29:05,70.3705,31.1107,42.78,75,75,14.97
65,Palmer,US,2022-09-30 16:23:15,42.1584,-72.3287,59.77,65,75,4.61
66,Hofn,IS,2022-09-30 16:29:05,64.2539,-15.2082,51.82,76,100,8.05
67,Kalmar,SE,2022-09-30 16:29:05,56.6616,16.3616,54.97,82,75,8.05
68,Ngunguru,NZ,2022-09-30 16:29:06,-35.6167,174.5,60.62,94,100,9.44
69,Saint-Francois,FR,2022-09-30 16:29:06,46.4154,3.9054,60.24,55,20,5.75
70,Sitka,US,2022-09-30 16:20:01,57.0531,-135.33,55.29,88,100,3.44
71,Jamestown,US,2022-09-30 16:25:38,42.097,-79.2353,56.79,80,0,3.44
72,Kloulklubed,PW,2022-09-30 16:29:07,7.0419,134.2556,77.5,75,18,7.49
73,Vila Velha,BR,2022-09-30 16:25:41,-20.3297,-40.2925,75.15,78,75,14.97
74,Lebu,CL,2022-09-30 16:29:07,-37.6167,-73.65,56.1,77,100,12.71
75,Felanitx,ES,2022-09-30 16:29:08,39.4696,3.1483,69.96,51,48,14.0
76,Sicamous,CA,2022-09-30 16:29:08,50.8331,-118.9856,58.19,78,40,1.48
77,Provideniya,RU,2022-09-30 16:29:08,64.3833,-173.3,33.71,76,37,8.79
78,Saint-Philippe,RE,2022-09-30 16:29:09,-21.3585,55.7679,71.19,82,33,10.38
79,Ilulissat,GL,2022-09-30 16:29:09,69.2167,-51.1,35.62,80,100,4.61
80,Kaitangata,NZ,2022-09-30 16:29:10,-46.2817,169.8464,34.56,92,10,3.09
81,Mitsamiouli,KM,2022-09-30 16:29:10,-11.3847,43.2844,75.52,74,33,2.91
82,Sola,VU,2022-09-30 16:29:10,-13.8833,167.55,79.18,71,72,5.44
83,Castro,BR,2022-09-30 16:29:11,-24.7911,-50.0119,57.42,88,100,8.55
84,Esperance,AU,2022-09-30 16:29:11,-33.8667,121.9,51.1,85,17,11.72
85,Koppang,NO,2022-09-30 16:29:11,61.5706,11.0555,44.76,80,87,8.39
86,Isangel,VU,2022-09-30 16:29:12,-19.55,169.2667,74.43,83,7,6.8
87,Geraldton,AU,2022-09-30 16:29:13,-28.7667,114.6,57.61,88,8,0.0
